Gene1,Gene2,Score
CEBPB,HIST1H2AE,167
CEBPB,NR3C1,331
CEBPB,PPCDC,121
CEBPB,TPGS1,344
CEBPB,SNX4,126
CEBPB,BPIFC,566
CEBPB,STK10,160
CEBPB,LONP2,172
CEBPB,SEC24C,186
CEBPB,RHOH,615
CEBPB,PPIL1,855
CEBPB,ECE1,105
CEBPB,HSP90AB1,121
CEBPB,LOC102640673,260
CEBPB,SRP19,219
CEBPB,RARS2,111
CEBPB,ORC3,111
CEBPB,RMDN2,119
CEBPB,DNMBP,189
CEBPB,OLFR970,513
CEBPB,SLC35B2,223
CEBPB,SLAMF9,334
CEBPB,NXT1,167
CEBPB,4931406C07RIK,123
CEBPB,PIK3CG,494
CEBPB,SQSTM1,181
CEBPB,CXCL12,180
CEBPB,ZRANB1,317
CEBPB,MRPL39,159
CEBPB,RHOJ,216
CEBPB,DEPDC1B,139
CEBPB,WDR92,324
CEBPB,PNO1,324
CEBPB,UQCRC1,254
CEBPB,TASP1,126
CEBPB,PLK2,164
CEBPB,IRF9,142
CEBPB,ETV6,149
CEBPB,ARPC3,121
CEBPB,NCKAP1L,257
CEBPB,KCNA3,1002
CEBPB,UBL5,196
CEBPB,FBXL12,196
CEBPB,TTF1,256
CEBPB,CLIP2,240
CEBPB,GPATCH3,174
CEBPB,TRP53RKB,134
CEBPB,NOC3L,143
CEBPB,PBXIP1,118
CEBPB,NUP155,120
CEBPB,CHERP,145
CEBPB,SGTB,383
CEBPB,NLN,383
CEBPB,NEDD1,141
CEBPB,THRA,143
CEBPB,ZSCAN29,190
CEBPB,H2-K1,158
CEBPB,LMAN2L,573
CEBPB,SEM1,468
CEBPB,ALPK1,106
CEBPB,STXBP3,242
CEBPB,4930544D05RIK,289
CEBPB,MAN1A,264
CEBPB,UBA7,225
CEBPB,SLC36A2,278
CEBPB,SWAP70,143
CEBPB,TMEM253,167
CEBPB,CMPK2,166
CEBPB,UBE2L6,290
CEBPB,MAPK7,179
CEBPB,PRRG2,108
CEBPB,NOSIP,108
CEBPB,PGGHG,196
CEBPB,CDC73,218
CEBPB,FAM8A1,120
CEBPB,NAT8F5,484
CEBPB,CACYBP,208
CEBPB,2310033P09RIK,148
CEBPB,SRSF3,136
CEBPB,D8ERTD738E,117
CEBPB,BMX,142
CEBPB,SNX20,313
CEBPB,QTRT1,116
CEBPB,DMKN,231
CEBPB,PMVK,128
CEBPB,FFAR2,175
CEBPB,TXNRD1,177
CEBPB,FBXL4,177
CEBPB,GOSR2,192
CEBPB,DNAL4,230
CEBPB,SFN,181
CEBPB,RBM28,143
CEBPB,TRA2A,227
CEBPB,SLC39A1,335
CEBPB,PEX2,128
CEBPB,PIRA6,869
CEBPB,HIF1A,328
CEBPB,SUPT7L,121
CEBPB,SLC4A1AP,121
CEBPB,PHF7,135
CEBPB,BAP1,135
CEBPB,MINDY2,136
CEBPB,HINT1,231
CEBPB,SPATA5L1,238
CEBPB,MRC1,424
CEBPB,PLD3,214
CEBPB,2310022A10RIK,214
CEBPB,KLHL15,142
CEBPB,PIRA7,869
CEBPB,PIRA4,869
CEBPB,PIRA11,869
CEBPB,GM14548,869
CEBPB,PAX6,292
CEBPB,MED15,125
CEBPB,BACH1,193
CEBPB,KCTD11,181
CEBPB,PTGIR,248
CEBPB,PTX3,263
CEBPB,BLVRA,110
CEBPB,USP16,172
CEBPB,AKNA,318
CEBPB,VAMP4,148
CEBPB,SLFN2,406
CEBPB,DTNB,200
CEBPB,OXSR1,104
CEBPB,POLR2G,226
CEBPB,THBD,181
CEBPB,SFXN2,159
CEBPB,ARL3,159
CEBPB,GALK2,110
CEBPB,FAM219A,203
CEBPB,FAM241A,744
CEBPB,PLAUR,149
CEBPB,CSF2RB2,183
CEBPB,NEMP1,131
CEBPB,LYZ2,161
CEBPB,BTLA,483
CEBPB,LRSAM1,667
CEBPB,R3HCC1,132
CEBPB,OSM,375
CEBPB,ROCK2,110
CEBPB,RNF14,154
CEBPB,KCNAB2,571
CEBPB,CBR3,260
CEBPB,SESN2,166
CEBPB,FLRT3,145
CEBPB,VIRMA,206
CEBPB,RLF,137
CEBPB,PALD1,359
CEBPB,MAN2A1,203
CEBPB,CASP2,297
CEBPB,GRHL2,236
CEBPB,IL27,365
CEBPB,WDR89,121
CEBPB,CSRP2,182
CEBPB,CEP68,262
CEBPB,CCL6,1702
CEBPB,DOCK10,449
CEBPB,CD44,189
CEBPB,SYNJ2,263
CEBPB,IER3,586
CEBPB,PIP5K1C,430
CEBPB,RIC1,571
CEBPB,WDR63,475
CEBPB,ATP6V0D1,226
CEBPB,RAB4B,137
CEBPB,SRP14,167
CEBPB,ZFP760,190
CEBPB,PON2,179
CEBPB,NFKBIE,237
CEBPB,PPIL3,137
CEBPB,NIF3L1,137
CEBPB,CHIT1,561
CEBPB,TRAF6,183
CEBPB,ENPP2,155
CEBPB,SERPINB9G,339
CEBPB,PDCD6,110
CEBPB,PPP1R7,136
CEBPB,PASK,136
CEBPB,AASDH,148
CEBPB,DHX34,120
CEBPB,GPR157,160
CEBPB,FZR1,179
CEBPB,ASS1,110
CEBPB,LRRFIP2,229
CEBPB,FKBP7,165
CEBPB,ARID3A,1016
CEBPB,SMIM11,145
CEBPB,GM9733,963
CEBPB,AKR1C18,214
CEBPB,DTHD1,309
CEBPB,ARRB1,332
CEBPB,ZFP524,136
CEBPB,FIZ1,136
CEBPB,OTUD4,169
CEBPB,SSB,316
CEBPB,CLN3,169
CEBPB,ACACA,169
CEBPB,USP3,199
CEBPB,METRN,152
CEBPB,SLFN1,1409
CEBPB,CCR1,417
CEBPB,UBXN2A,135
CEBPB,MPZL2,219
CEBPB,MRPS14,132
CEBPB,AB124611,497
CEBPB,SPI1,275
CEBPB,PHLPP2,133
CEBPB,SNAPC4,175
CEBPB,FRMD6,200
CEBPB,H2-M2,413
CEBPB,RASSF1,289
CEBPB,ATP2A2,233
CEBPB,ARVCF,172
CEBPB,OLFM2,155
CEBPB,EHF,419
CEBPB,SEPHS1,194
CEBPB,BCL2A1C,430
CEBPB,CAP1,195
CEBPB,SUPT5,145
CEBPB,H3F3A,141
CEBPB,NDUFAF6,139
CEBPB,MTM1,398
CEBPB,SLFN8,313
CEBPB,PTGES3L,222
CEBPB,SPTBN4,278
CEBPB,MAML3,108
CEBPB,TSPAN5,152
CEBPB,OSTC,151
CEBPB,EIF1B,280
CEBPB,APOBR,169
CEBPB,GALNT10,143
CEBPB,TGFB1I1,105
CEBPB,SLC9A8,107
CEBPB,BC005537,295
CEBPB,ACTR2,467
CEBPB,SLC26A11,131
CEBPB,SGSH,131
CEBPB,ST7,175
CEBPB,MUC20,394
CEBPB,ZFP810,129
CEBPB,SERPINB6B,155
CEBPB,D17H6S53E,760
CEBPB,GMCL1,149
CEBPB,MICU3,148
CEBPB,IKBIP,303
CEBPB,APAF1,303
CEBPB,ERP29,311
CEBPB,TUBGCP4,190
CEBPB,PRPF38A,156
CEBPB,ORC1,156
CEBPB,FCNB,383
CEBPB,RASSF8,190
CEBPB,NHEJ1,148
CEBPB,LTF,118
CEBPB,TOM1,117
CEBPB,UBR2,155
CEBPB,P2RY10B,173
CEBPB,ANGPTL4,192
CEBPB,MEF2C,349
CEBPB,PLPP1,879
CEBPB,PIGF,120
CEBPB,CRIPT,120
CEBPB,BCL2A1A,382
CEBPB,DFFB,182
CEBPB,CEP104,182
CEBPB,ERAL1,215
CEBPB,TOP3A,299
CEBPB,CAPRIN2,104
CEBPB,ATP5O,165
CEBPB,BC028528,139
CEBPB,TRIM37,108
CEBPB,USP34,151
CEBPB,PTDSS2,103
CEBPB,BTN1A1,145
CEBPB,CCNF,157
CEBPB,ZC3H7B,165
CEBPB,CSF1R,294
CEBPB,TK2,146
CEBPB,CDKN2C,126
CEBPB,ZSWIM8,143
CEBPB,PCNX2,155
CEBPB,NTNG2,230
CEBPB,WDFY3,339
CEBPB,SPTAN1,102
CEBPB,CTBP1,191
CEBPB,IL18,137
CEBPB,BCO2,137
CEBPB,ABHD16A,134
CEBPB,DLG1,281
CEBPB,SCCPDH,212
CEBPB,MYO9B,129
CEBPB,HAUS8,129
CEBPB,RNASEH2A,173
CEBPB,DAGLA,194
CEBPB,TMEM184C,213
CEBPB,BTBD9,174
CEBPB,CD80,261
CEBPB,ATAT1,120
CEBPB,HIST1H3I,245
CEBPB,GRHL1,345
CEBPB,SSMEM1,128
CEBPB,ZFP408,107
CEBPB,KLRA17,622
CEBPB,ARHGAP1,107
CEBPB,RGL2,112
CEBPB,RAD51AP1,153
CEBPB,D6WSU163E,153
CEBPB,SPPL2A,156
CEBPB,EXOSC10,257
CEBPB,HOOK3,124
CEBPB,ORC4,129
CEBPB,GOPC,217
CEBPB,TMEM209,128
CEBPB,DDA1,113
CEBPB,TBL1XR1,144
CEBPB,BTG2,197
CEBPB,S100A11,259
CEBPB,FAM89A,208
CEBPB,A430078G23RIK,430
CEBPB,LSP1,884
CEBPB,MX2,115
CEBPB,SLFN3,301
CEBPB,RAB33B,129
CEBPB,H2-M3,161
CEBPB,VPS72,122
CEBPB,SUPT3,114
CEBPB,KPNA3,146
CEBPB,TPBG,217
CEBPB,CS,186
CEBPB,S100A3,214
CEBPB,ZFP382,129
CEBPB,MSR1,554
CEBPB,TBKBP1,242
CEBPB,AKR1A1,163
CEBPB,CR1L,113
CEBPB,CD226,785
CEBPB,ZFP513,135
CEBPB,FDFT1,125
CEBPB,TMEM67,399
CEBPB,BTBD1,224
CEBPB,TNFRSF17,365
CEBPB,SHISA5,160
CEBPB,ZFP866,207
CEBPB,RAD54B,143
CEBPB,MAPK8IP3,201
CEBPB,CSF3,454
CEBPB,TRAIP,274
CEBPB,PLA2R1,191
CEBPB,PDP1,160
CEBPB,BATF3,136
CEBPB,LSR,143
CEBPB,GTF2E2,143
CEBPB,OSGIN2,435
CEBPB,DNAJA4,175
CEBPB,GPRASP1,143
CEBPB,ARMCX5,143
CEBPB,TRIM33,165
CEBPB,MORC3,142
CEBPB,LYPLA1,119
CEBPB,H3F3B,181
CEBPB,RNF170,124
CEBPB,POLL,109
CEBPB,DPCD,109
CEBPB,CXCL2,198
CEBPB,IFIT3,109
CEBPB,FAM196A,156
CEBPB,IL7,280
CEBPB,HCLS1,385
CEBPB,H2-KE6,266
CEBPB,NFAM1,924
CEBPB,SCAMP1,460
CEBPB,UBAP2L,111
CEBPB,4933434E20RIK,111
CEBPB,PARL,153
CEBPB,PTPN1,175
CEBPB,HIST4H4,122
CEBPB,GM6710,109
CEBPB,GM14391,109
CEBPB,MX1,316
CEBPB,PGAM2,230
CEBPB,ATXN1L,245
CEBPB,CABIN1,120
CEBPB,GBP5,230
CEBPB,MIS18A,154
CEBPB,WNT2B,422
CEBPB,WDR19,131
CEBPB,MTRF1,172
CEBPB,MS4A7,250
CEBPB,CHST11,181
CEBPB,SOD2,117
CEBPB,GNA13,135
CEBPB,LRRC25,237
CEBPB,DAP,153
CEBPB,BZW1,103
CEBPB,ASAP1,274
CEBPB,JRKL,160
CEBPB,SPSB2,165
CEBPB,NEDD9,109
CEBPB,TRIM30D,187
CEBPB,CBX8,216
CEBPB,ATP13A4,215
CEBPB,HIST1H4I,139
CEBPB,ZFP759,206
CEBPB,NEURL3,198
CEBPB,PFKM,237
CEBPB,CDK5,101
CEBPB,IQGAP2,137
CEBPB,RCSD1,185
CEBPB,CALM1,258
CEBPB,ZFP984,414
CEBPB,BAIAP2,214
CEBPB,AGO3,256
CEBPB,GTPBP10,115
CEBPB,DPYSL5,113
CEBPB,ZBTB14,114
CEBPB,MIER1,338
CEBPB,MAP10,253
CEBPB,FBLIM1,112
CEBPB,TNNI2,471
CEBPB,MBD5,129
CEBPB,ZFP84,195
CEBPB,LRP11,231
CEBPB,SKAP2,471
CEBPB,LLPH,132
CEBPB,POLD4,150
CEBPB,CSF2RA,204
CEBPB,TRIM44,110
CEBPB,PISD,233
CEBPB,PMF1,138
CEBPB,NOP53,133
CEBPB,UBAC2,201
CEBPB,CXCL5,136
CEBPB,NTPCR,136
CEBPB,RGS11,147
CEBPB,CSK,838
CEBPB,RUFY1,174
CEBPB,IGTP,166
CEBPB,BRK1,142
CEBPB,DNAJC10,133
CEBPB,HPGDS,192
CEBPB,DAGLB,222
CEBPB,FAR1,569
CEBPB,TLR13,257
CEBPB,SLC25A44,177
CEBPB,LTN1,157
CEBPB,BFAR,113
CEBPB,TSC22D3,235
CEBPB,PITPNA,109
CEBPB,PAG1,110
CEBPB,CD300LG,278
CEBPB,P2RX6,117
CEBPB,LRRC74B,117
CEBPB,NCF4,342
CEBPB,FCGR1,483
CEBPB,KCNU1,205
CEBPB,MS4A4A,706
CEBPB,F8A,107
CEBPB,RGS20,170
CEBPB,GLRP1,172
CEBPB,CHDH,291
CEBPB,KLK1B11,423
CEBPB,OOSP2,1976
CEBPB,AOAH,264
CEBPB,DNASE2B,294
CEBPB,SERPINB10,507
CEBPB,BEX6,290
CEBPB,CDC6,284
CEBPB,HSPB9,186
CEBPB,SLC1A2,154
CEBPB,MAK,141
CEBPB,F2RL1,284
CEBPB,SCIMP,334
CEBPB,BRD1,151
CEBPB,FRMD4B,433
CEBPB,SLC13A1,483
CEBPB,MYCN,190
CEBPB,ANLN,560
CEBPB,TRIM5,248
CEBPB,CMTR1,151
CEBPB,CST3,273
CEBPB,KCNK10,142
CEBPB,CD69,188
CEBPB,PHF11B,350
CEBPB,PTK2,104
CEBPB,TUBA8,143
CEBPB,HSPA5,175
CEBPB,SASH3,224
CEBPB,PIP5K1B,145
CEBPB,MAP4K4,113
CEBPB,PIK3CD,226
CEBPB,ERG,157
CEBPB,RALGAPA1,133
CEBPB,NR4A1,223
CEBPB,PMP22,233
CEBPB,OVGP1,869
CEBPB,CFLAR,126
CEBPB,DOK2,268
CEBPB,PLSCR1,324
CEBPB,DIXDC1,204
CEBPB,MLC1,108
CEBPB,UBLCP1,139
CEBPB,DCTN1,194
CEBPB,PARP11,154
CEBPB,BBOF1,102
CEBPB,ARHGAP30,146
CEBPB,TMEM219,119
CEBPB,WDFY4,183
CEBPB,GPATCH2L,125
CEBPB,CIITA,286
CEBPB,TLR11,281
CEBPB,PCDH7,114
CEBPB,GPD2,149
CEBPB,PSME4,201
CEBPB,ANKRD34A,243
CEBPB,ZFP800,188
CEBPB,API5,350
CEBPB,TIMM10B,261
CEBPB,ARFIP2,261
CEBPB,GLRX,152
CEBPB,YPEL4,148
CEBPB,CDK12,110
CEBPB,CIAO2B,126
CEBPB,GRK3,144
CEBPB,GFI1,140
CEBPB,SH2B3,188
CEBPB,CLK3,139
CEBPB,TRIM30A,187
CEBPB,9430069I07RIK,648
CEBPB,PACS2,160
CEBPB,ABCC4,221
CEBPB,ANKIB1,133
CEBPB,GPR160,149
CEBPB,NAPSA,393
CEBPB,SPAG6,284
CEBPB,DENND6A,233
CEBPB,HSPA12A,131
CEBPB,ENO4,131
CEBPB,PCYOX1,133
CEBPB,KDM4D,110
CEBPB,HCK,110
CEBPB,GNAT2,256
CEBPB,TSPOAP1,187
CEBPB,UBL7,184
CEBPB,FUS,249
CEBPB,TAF10,300
CEBPB,E330009J07RIK,270
CEBPB,ZPR1,126
CEBPB,AFTPH,112
CEBPB,SLC8A2,257
CEBPB,HNRNPU,905
CEBPB,SCGB1A1,777
CEBPB,ACTA2,232
CEBPB,ZFAND5,144
CEBPB,SH3BGRL3,401
CEBPB,DNAJA1,127
CEBPB,GPR155,145
CEBPB,DOCK1,426
CEBPB,CDC42SE2,121
CEBPB,CCL12,186
CEBPB,PEA15A,200
CEBPB,NLRX1,412
CEBPB,PTGS1,215
CEBPB,IL12B,394
CEBPB,CLASP2,119
CEBPB,PIGT,111
CEBPB,OLFR110,351
CEBPB,DDHD2,176
CEBPB,DGKZ,142
CEBPB,SCP2,142
CEBPB,UGT1A7C,143
CEBPB,SPACA9,130
CEBPB,FGL2,285
CEBPB,PALM2,309
CEBPB,PAKAP,309
CEBPB,SPG20,143
CEBPB,POLR2B,193
CEBPB,NOA1,193
CEBPB,SLC16A3,361
CEBPB,IFI207,140
CEBPB,PRDM12,167
CEBPB,INTS13,157
CEBPB,FGFR1OP2,157
CEBPB,YTHDF1,197
CEBPB,TSHZ1,215
CEBPB,RNASE6,323
CEBPB,CLEC4B1,548
CEBPB,SMURF2,171
CEBPB,NSD3,467
CEBPB,TMEM91,183
CEBPB,NSRP1,116
CEBPB,RPS20,135
CEBPB,CCL24,117
CEBPB,RAC2,326
CEBPB,PPWD1,182
CEBPB,DRG1,189
CEBPB,MSGN1,580
CEBPB,TUSC2,107
CEBPB,CLEC4D,401
CEBPB,TMEM44,142
CEBPB,SLC6A6,139
CEBPB,TMEM229B,181
CEBPB,RANBP9,348
CEBPB,CLEC4A2,374
CEBPB,BIRC3,128
CEBPB,ARHGEF37,443
CEBPB,RIN3,250
CEBPB,PVR,197
CEBPB,PICALM,244
CEBPB,ARHGEF4,194
CEBPB,ACP5,143
CEBPB,1700021F05RIK,123
CEBPB,INTS6,174
CEBPB,RSPO1,145
CEBPB,METTL13,200
CEBPB,MREG,334
CEBPB,FCGR4,255
CEBPB,ITGA4,218
CEBPB,TMEM110,408
CEBPB,SHANK2,126
CEBPB,NAIP7,144
CEBPB,NAIP6,144
CEBPB,GRAMD1A,108
CEBPB,NAIP5,174
CEBPB,OCLN,197
CEBPB,ACSL4,189
CEBPB,PHF11A,335
CEBPB,ITGB2,170
CEBPB,SOCS7,149
CEBPB,PHTF2,120
CEBPB,CAD,106
CEBPB,AIRE,352
CEBPB,USP32,140
CEBPB,DLST,120
CEBPB,WASHC5,158
CEBPB,NSMCE2,158
CEBPB,RADIL,592
CEBPB,BC147527,193
CEBPB,PRDX4,162
CEBPB,SH3TC1,202
CEBPB,ADAMTS13,191
CEBPB,AP1G2,108
CEBPB,CFAP58,212
CEBPB,HMGCR,131
CEBPB,PTPN2,173
CEBPB,ASB4,126
CEBPB,KTN1,191
CEBPB,OLFR1316,193
CEBPB,RGS14,115
CEBPB,FAM43A,216
CEBPB,NRARP,120
CEBPB,CD53,115
CEBPB,KLRK1,584
CEBPB,1700123O20RIK,147
CEBPB,SIX1,193
CEBPB,OLFM1,119
CEBPB,ZFP952,211
CEBPB,NAIP1,332
CEBPB,ENTHD1,169
CEBPB,SPNS3,284
CEBPB,ATP8B4,241
CEBPB,ZBTB7A,117
CEBPB,EAR3,397
CEBPB,EAR2,397
CEBPB,EAR12,397
CEBPB,PPM1M,146
CEBPB,TXNDC2,123
CEBPB,IFI205,137
CEBPB,TMEM63B,146
CEBPB,MRPL14,146
CEBPB,FOXB1,106
CEBPB,TM6SF1,416
CEBPB,VMN1R8,168
CEBPB,B4GALT4,190
CEBPB,ALS2CR12,124
CEBPB,IGF2R,168
CEBPB,TMEM217,271
CEBPB,TBC1D22B,271
CEBPB,INPP4B,202
CEBPB,SLC35G2,231
CEBPB,MYO18A,169
CEBPB,IQGAP3,131
CEBPB,TLR5,248
CEBPB,H2-OA,217
CEBPB,ARHGAP22,264
CEBPB,ITIH5,149
CEBPB,PDCD1,284
CEBPB,SLC4A11,160
CEBPB,CABLES2,218
CEBPB,AMPD3,120
CEBPB,RNASE2B,250
CEBPB,ALOX12,475
CEBPB,TREX1,112
CEBPB,GBP8,139
CEBPB,LY6E,346
CEBPB,CLEC4A3,149
CEBPB,ZFP811,162
CEBPB,ARHGEF3,250
CEBPB,GALC,230
CEBPB,SAE1,204
CEBPB,KIF1A,414
CEBPB,EVI2B,162
CEBPB,FKBP1B,159
CEBPB,NRG1,214
CEBPB,CD300E,174
CEBPB,ZFP991,236
CEBPB,PI4KB,134
CEBPB,NEIL3,242
CEBPB,MARCO,299
CEBPB,TFPI2,132
CEBPB,CCR2,548
CEBPB,GM6904,275
CEBPB,B430306N03RIK,302
CEBPB,TIMP2,122
CEBPB,ISOC1,219
CEBPB,PTPRC,205
CEBPB,PLCL2,205
CEBPB,P2RX5,142
CEBPB,ABCG1,151
CEBPB,UBASH3B,167
CEBPB,TCP11,217
CEBPB,R3HDM2,132
CEBPB,SPEF2,213
CEBPB,NRXN2,110
CEBPB,KIF23,137
CEBPB,FBXL2,110
CEBPB,CAPZB,419
CEBPB,STFA3,504
CEBPB,ARHGAP9,151
CEBPB,TNFRSF26,263
CEBPB,FRY,208
CEBPB,GM5150,368
CEBPB,DIO2,201
CEBPB,SLC2A3,333
CEBPB,PGLYRP1,181
CEBPB,EAR7,248
CEBPB,EAR6,248
CEBPB,BORCS6,236
CEBPB,GM1966,337
CEBPB,SMCR8,299
CEBPB,MGL2,149
CEBPB,MAP4K2,139
CEBPB,OLFR547,335
CEBPB,RNF113A1,167
CEBPB,NDUFA1,167
CEBPB,RP2,172
CEBPB,FBRSL1,140
CEBPB,P2RY12,205
CEBPB,SFTPB,155
CEBPB,TMEM273,116
CEBPB,TCHH,689
CEBPB,GLT1D1,108
CEBPB,MS4A3,614
CEBPB,GPR18,186
CEBPB,MLKL,324
CEBPB,D130040H23RIK,138
CEBPB,DUSP19,109
CEBPB,ME2,180
CEBPB,PIRB,174
CEBPB,APLN,136
CEBPB,SSH2,178
CEBPB,IRF4,139
CEBPB,GM14725,108
CEBPB,KHNYN,157
CEBPB,SPINT1,141
CEBPB,EIF3A,107
CEBPB,SLC43A2,362
CEBPB,BANK1,177
CEBPB,NUDT7,102
CEBPB,HEG1,186
CEBPB,CSNK1G3,161
CEBPB,SELL,254
CEBPB,STMN1,139
CEBPB,EDDM3B,355
CEBPB,CRISP1,448
CEBPB,RGS10,109
CEBPB,NCOA7,152
CEBPB,GSTO2,109
CEBPB,GM13212,232
CEBPB,CFP,285
CEBPB,ACVR1B,131
CEBPB,ASB16,520
CEBPB,EAR1,213
CEBPB,CD37,277
CEBPB,SIRPB1A,476
CEBPB,CRYL1,201
CEBPB,PIGV,140
CEBPB,BROX,198
CEBPB,CYBB,271
CEBPB,FCRL1,213
CEBPB,LRP10,128
CEBPB,ZDHHC21,202
CEBPB,HACD4,279
CEBPB,KCTD6,225
CEBPB,USP18,127
CEBPB,SERPINB2,233
CEBPB,NLRP1B,235
CEBPB,CCL4,301
CEBPB,PTPRV,159
CEBPB,PTPN7,159
CEBPB,VPS37A,209
CEBPB,CNOT7,209
CEBPB,OLFR156,110
CEBPB,DGKG,278
CEBPB,9830107B12RIK,615
CEBPB,TMEM40,134
CEBPB,H2-T10,214
CEBPB,MANBAL,124
CEBPB,1810037I17RIK,137
CEBPB,ADGRE4,254
CEBPB,GPR55,157
CEBPB,MGAM,286
CEBPB,ALPK3,140
CEBPB,MEFV,285
CEBPB,CBLN3,157
CEBPB,C1QTNF3,207
CEBPB,SGK3,141
CEBPB,CD300A,114
CEBPB,TREML4,194
CEBPB,NAP1L2,202
CEBPB,MMP7,120
CEBPB,MAP7D1,118
CEBPB,GFRA4,131
CEBPB,VSIG8,367
CEBPB,TACSTD2,213
CEBPB,BCL3,114
CEBPB,CAPN8,196
CEBPB,TAS2R138,305
CEBPB,IL1A,155
CEBPB,IL11RA1,188
CEBPB,TES,283
CEBPB,ZFP804A,143
CEBPB,PIRA1,215
CEBPB,LILRA6,215
CEBPB,CTDSPL,170
CEBPB,MMP12,198
CEBPB,HEATR9,198
CEBPB,SLC22A8,155
CEBPB,LY86,186
CEBPB,ELAVL4,103
CEBPB,TRAF3IP3,336
CEBPB,PLCB2,179
CEBPB,KLHL23,190
CEBPB,RASAL1,186
CEBPB,GPR85,213
CEBPB,1700025F22RIK,237
CEBPB,DNAIC2,390
CEBPB,KLHL3,247
CEBPB,S100A2,214
CEBPB,SLC39A2,319
CEBPB,RBPMS2,129
CEBPB,SLAMF6,349
CEBPB,ADGRE5,360
CEBPB,RAB15,152
CEBPB,GM17455,138
CEBPB,OLFR372,197
CEBPB,ZFP541,186
CEBPB,SYNB,104
CEBPB,CHMP2A,155
CEBPB,OLFR373,202
CEBPB,LY6I,227
CEBPB,SAMSN1,210
CEBPB,P2RX7,163
CEBPB,ARAP3,109
CEBPB,LRMP,115
CEBPB,CD86,189
CEBPB,DAPP1,145
CEBPB,A530064D06RIK,292
CEBPB,OVOL2,153
CEBPB,DTX3,184
CEBPB,SS18,124
CEBPB,ZFP626,212
CEBPB,FABP7,301
CEBPB,DENND5A,279
CEBPB,BCL2L15,506
CEBPB,RS1,685
CEBPB,CD274,114
CEBPB,PPM1H,116
CEBPB,NLRP1A,106
CEBPB,CLEC4A4,266
CEBPB,PIK3R5,189
CEBPB,PTPRR,132
CEBPB,JAKMIP1,131
CEBPB,GALNT6,140
CEBPB,CCL2,114
CEBPB,GNA15,134
CEBPB,ANKUB1,139
CEBPB,CREG2,337
CEBPB,MAPK13,210
CEBPB,LRRC72,161
CEBPB,GM5483,540
CEBPB,LPCAT2,227
CEBPB,ARHGAP15,150
CEBPB,OLFR429,181
CEBPB,BC035044,283
CEBPB,B3GNT5,108
CEBPB,CALM5,246
CEBPB,OLFR211,180
CEBPB,ATP6AP2,115
CEBPB,MRGPRA2A,203
CEBPB,CHST7,108
CEBPB,DDX6,114
CEBPB,PRSS37,231
CEBPB,IL1F9,725
CEBPB,MDFI,142
CEBPB,FNDC3A,456
CEBPB,SP110,144
CEBPB,LRRC58,124
CEBPB,ZFP296,255
CEBPB,SRP72,101
CEBPB,ABCA13,523
CEBPB,EBI3,103
CEBPB,SYNPO,351
CEBPB,LY6C2,202
CEBPB,CAMK2G,240
CEBPB,ZFP456,139
CEBPB,OLFR961,377
CEBPB,IL1F6,190
CEBPB,4930512M02RIK,164
CEBPB,TNFRSF11A,112
CEBPB,IL21R,140
CEBPB,IFIT1BL2,183
CEBPB,IFIT1,183
CEBPB,TENT5D,328
CEBPB,2610002M06RIK,328
CEBPB,CLEC3A,233
CEBPB,PIRA2,187
CEBPB,RSAD2,331
CEBPB,ADORA3,173
CEBPB,CCDC125,166
CEBPB,DHRS2,155
CEBPB,IDO1,169
CEBPB,TMEM82,108
CEBPB,TIAM1,109
CEBPB,SVS2,153
CEBPB,S100A9,244
CEBPB,P2RY10,153
CEBPB,SETD1B,155
CEBPB,KLRB1B,175
CEBPB,ZFP819,124
CEBPB,GRXCR1,301
CEBPB,GNAT1,115
CEBPB,EPHX3,102
CEBPB,MRGPRA2B,268
CEBPB,CFAP53,266
CEBPB,TREML2,121
CEBPB,IFNA5,290
CEBPB,TAS2R144,180
CEBPB,CD200R2,170
CEBPB,FGD2,120
CEBPB,SOWAHD,156
CEBPB,EIF4E3,126
CEBPB,CD200,136
CEBPB,N4BP3,185
CEBPB,TNFRSF4,136
CEBPB,CDKL4,169
CEBPB,SUSD2,138
CEBPB,KLK9,153
CEBPB,ZFP660,371
CEBPB,D930020B18RIK,132
CEBPB,PCGF5,366
CEBPB,STFA2L1,354
CEBPB,OLFR976,353
CEBPB,SYK,117
CEBPB,SOX18,145
CEBPB,RNF180,127
CEBPB,FLT4,155
CEBPB,FGF23,215
CEBPB,OVOL1,126
CEBPB,CST7,150
CEBPB,CXCL15,263
CEBPB,STUM,140
CEBPB,CDH22,108
CEBPB,KLRB1C,154
CEBPB,CCR4,184
CEBPB,S100A5,176
CEBPB,SCARF1,169
CEBPB,KLK1B16,167
CEBPB,OLFR461,165
CEBPB,CCL5,151
CEBPB,CCL22,137
CEBPB,GM5416,131
CEBPB,CD3G,131
CEBPB,CD3D,131
CEBPB,MCF2,126
CEBPB,GAPT,125
CEBPB,BC100530,125
CEBPB,H2-AA,120
CEBPB,DDX60,115
CEBPB,CXCR6,114
CEBPB,TEX48,109
CEBPB,RAP1GAP2,106
CTCF,MED4,1237
CTCF,NIPSNAP2,926
CTCF,RAPGEF1,1201
CTCF,ADPRHL2,1353
CTCF,GINS4,1092
CTCF,SH3GLB1,822
CTCF,TOP1MT,1091
CTCF,VPS36,625
CTCF,LSM11,712
CTCF,NUDT15,1087
