	cl
E1874_23	0
E1875_24	0
E1876_24	0
E1877_24	0
E1878_24	0
E1879_24	0
E1880_24	0
E1881_24	0
E1882_24	0
E1883_24	0
E1884_24	0
E1885_24	0
