TF,Sources
PCBD1,RegNetwork
PCBD2,RegNetwork
PCBP2,TRRUST
PCGF2,RegNetwork|TRRUST
PCGF6,RegNetwork
PDCD11,RegNetwork
PDLIM4,RegNetwork
PDX1,RegNetwork|TRRUST
PED,RegNetwork
PEG3,TRRUST
PELP1,TRRUST
PER1,RegNetwork|TRRUST
PER2,RegNetwork|TRRUST
PER3,RegNetwork
PGR,RegNetwork|TRRUST
PHB2,RegNetwork
PHC1,ESCAPE
PHF1,RegNetwork
PHF10,RegNetwork
PHF12,RegNetwork|TRRUST
PHF14,RegNetwork
PHF17,RegNetwork
PHF2,RegNetwork|TRRUST
PHF20,RegNetwork
PHF3,RegNetwork
PHOX2A,TRRUST
PHOX2B,RegNetwork|TRRUST
PHTF1,RegNetwork
PIAS1,RegNetwork|TRRUST
PIAS2,RegNetwork|TRRUST
PIAS3,RegNetwork|TRRUST
PIAS4,RegNetwork|TRRUST
PITX1,RegNetwork|TRRUST
PITX2,RegNetwork|TRRUST
PITX3,RegNetwork|TRRUST
PKNOX1,RegNetwork|TRRUST
PKNOX2,RegNetwork
PLAG1,RegNetwork|TRRUST
PLAGL2,RegNetwork|TRRUST
PLRG1,RegNetwork
PML,RegNetwork|TRRUST
PMS1,RegNetwork
PNN,RegNetwork|TRRUST
POLR1A,RegNetwork
POLR1B,RegNetwork
POLR1C,RegNetwork
POLR1D,RegNetwork
POLR1E,RegNetwork
POLR2A,RegNetwork
POLR2B,RegNetwork
POLR2C,RegNetwork
POLR2D,RegNetwork
POLR2E,RegNetwork
POLR2F,RegNetwork
POLR2G,RegNetwork
POLR2H,RegNetwork
POLR2I,RegNetwork
POLR2J,RegNetwork
POLR2K,RegNetwork
POLR3A,RegNetwork
POLR3B,RegNetwork
POLR3C,RegNetwork
POLR3D,RegNetwork
POLR3E,RegNetwork
POLR3F,RegNetwork
POLR3H,RegNetwork
POLR3K,RegNetwork
POU1F1,TRRUST
POU2AF1,RegNetwork|TRRUST
POU2F1,RegNetwork|TRRUST
POU2F2,RegNetwork|TRRUST
POU2F3,RegNetwork|TRRUST
POU3F1,RegNetwork|TRRUST
POU3F2,RegNetwork|TRRUST
POU3F3,RegNetwork|TRRUST
POU3F4,RegNetwork|TRRUST
POU4F1,RegNetwork|TRRUST
POU4F2,RegNetwork|TRRUST
POU4F3,TRRUST
POU5F1,RegNetwork|TRRUST|ESCAPE
POU6F1,RegNetwork
POU6F2,RegNetwork
PPARA,RegNetwork|TRRUST
PPARD,RegNetwork|TRRUST
PPARG,RegNetwork|TRRUST
PPARGC1A,RegNetwork|TRRUST
PPARGC1B,RegNetwork|TRRUST
PRDM1,TRRUST
PRDM13,TRRUST
PRDM14,ESCAPE
PRDM16,RegNetwork|TRRUST
PRDM4,RegNetwork
PRDM5,RegNetwork|TRRUST
PRDM8,RegNetwork|TRRUST
PREB,RegNetwork
PRL,TRRUST
PROP1,RegNetwork|TRRUST
PROX1,RegNetwork|TRRUST
PRPF4B,RegNetwork
PRRX1,RegNetwork|TRRUST
PRRX2,RegNetwork|TRRUST
PSIP1,RegNetwork
PTF1A,RegNetwork|TRRUST
PTH,TRRUST
PTHLH,TRRUST
PTRF,RegNetwork
PTTG1,RegNetwork|TRRUST
PURA,RegNetwork|TRRUST
PWP1,RegNetwork|TRRUST
PYGO1,RegNetwork
PYGO2,TRRUST
RAD51,RegNetwork
RAD51L1,RegNetwork
RAD54B,RegNetwork
RAF1,TRRUST
RAI14,RegNetwork
RALA,TRRUST
RAPGEF3,RegNetwork
RARA,RegNetwork|TRRUST
RARB,RegNetwork|TRRUST
RARG,RegNetwork|TRRUST
RAX,RegNetwork|TRRUST
RB1,RegNetwork|TRRUST
RBAK,RegNetwork
RBBP4,RegNetwork
RBBP7,RegNetwork
RBCK1,RegNetwork
RBFOX2,RegNetwork
RBL1,RegNetwork|TRRUST
RBL2,RegNetwork|TRRUST
RBM14,RegNetwork
RBM15,RegNetwork
RBM39,RegNetwork
RBMX,RegNetwork|TRRUST
RBMXL2,RegNetwork
RBPJ,RegNetwork|TRRUST
RBPJL,RegNetwork
RCOR2,RegNetwork
RDBP,RegNetwork
REL,RegNetwork|TRRUST
RELA,RegNetwork|TRRUST
RELB,RegNetwork|TRRUST
RERE,RegNetwork|TRRUST
REST,RegNetwork|TRRUST|ESCAPE
REXO4,RegNetwork
RFC1,RegNetwork
RFX1,RegNetwork|TRRUST
RFX2,RegNetwork
RFX3,RegNetwork|TRRUST
RFX4,RegNetwork|TRRUST
RFX5,RegNetwork|TRRUST
RFX7,RegNetwork
RFXANK,RegNetwork|TRRUST
RFXAP,RegNetwork|TRRUST
RGS14,RegNetwork
RHOX6,ESCAPE
RING1,RegNetwork
RLIM,RegNetwork
RNF14,RegNetwork
RNF19A,RegNetwork
RNF2,RegNetwork|TRRUST|ESCAPE
RNF4,RegNetwork
RNF6,RegNetwork
RNPS1,RegNetwork
RORA,RegNetwork|TRRUST
RORB,RegNetwork
RORC,RegNetwork
RPS6KA5,TRRUST
RSF1,RegNetwork
RUNX1,RegNetwork|TRRUST
RUNX1T1,RegNetwork|TRRUST
RUNX2,RegNetwork|TRRUST
RUNX3,RegNetwork|TRRUST
RUVBL1,RegNetwork
RUVBL2,RegNetwork|TRRUST
RXRA,RegNetwork|TRRUST|ESCAPE
RXRB,RegNetwork|TRRUST
RXRG,RegNetwork
RYBP,RegNetwork
SAFB,RegNetwork
SALL1,RegNetwork|TRRUST|ESCAPE
SALL2,RegNetwork|TRRUST
SALL3,RegNetwork
SALL4,RegNetwork|TRRUST|ESCAPE
SAP18,RegNetwork
SAP30,RegNetwork
SAP30BP,RegNetwork
SATB1,RegNetwork|TRRUST
SATB2,RegNetwork|TRRUST
SCMH1,RegNetwork
SCML2,RegNetwork
SCX,TRRUST
SERTAD1,RegNetwork|TRRUST
SERTAD2,RegNetwork
SERTAD3,RegNetwork
SETBP1,RegNetwork|TRRUST
SETDB1,ESCAPE
SF1,RegNetwork|TRRUST
SFPI1,RegNetwork|ESCAPE
SFPQ,RegNetwork|TRRUST
SHH,TRRUST
SHOX2,TRRUST
SIM1,RegNetwork|TRRUST
SIM2,RegNetwork|TRRUST
SIN3A,RegNetwork|TRRUST
SIN3B,RegNetwork|TRRUST
SIRT1,RegNetwork|TRRUST
SIRT2,RegNetwork
SIRT3,RegNetwork
SIRT4,RegNetwork
SIRT5,RegNetwork|TRRUST
SIRT7,RegNetwork
SIX1,RegNetwork|TRRUST
SIX2,RegNetwork|TRRUST
SIX3,RegNetwork|TRRUST
SIX4,RegNetwork|TRRUST
SIX5,RegNetwork|TRRUST
SIX6,RegNetwork|TRRUST
SKI,RegNetwork|TRRUST
SKIL,RegNetwork|TRRUST
SLA2,RegNetwork|TRRUST
SLC39A11,RegNetwork
SMAD1,RegNetwork|TRRUST|ESCAPE
SMAD2,RegNetwork|TRRUST
SMAD3,RegNetwork|TRRUST
SMAD4,RegNetwork|TRRUST|ESCAPE
SMAD5,RegNetwork|TRRUST
SMAD6,RegNetwork|TRRUST
SMAD7,RegNetwork|TRRUST|ESCAPE
SMAD9,RegNetwork|TRRUST
SMARCA1,RegNetwork
SMARCA2,RegNetwork|TRRUST
SMARCA4,RegNetwork|TRRUST
SMARCA5,RegNetwork|TRRUST
SMARCAD1,RegNetwork
SMARCB1,RegNetwork
SMARCC1,RegNetwork|TRRUST
SMARCC2,RegNetwork
SMARCD1,RegNetwork|TRRUST
SMARCD2,RegNetwork
SMARCD3,RegNetwork
SMARCE1,RegNetwork|TRRUST
SMURF1,TRRUST
SMURF2,RegNetwork|TRRUST
SMYD1,RegNetwork|TRRUST
SNAI1,RegNetwork|TRRUST
SNAI2,RegNetwork|TRRUST
SNAPC1,RegNetwork
SNAPC2,RegNetwork
SNAPC3,RegNetwork
SNAPC4,RegNetwork
SNAPC5,RegNetwork
SND1,RegNetwork|TRRUST
SNIP1,RegNetwork
SNRPB,RegNetwork
SNRPD1,RegNetwork
SOS1,RegNetwork
SOS2,RegNetwork
SOWAHC,RegNetwork
SOX10,RegNetwork|TRRUST
SOX11,RegNetwork|TRRUST
SOX14,TRRUST
SOX15,RegNetwork|TRRUST
SOX17,RegNetwork|TRRUST|ESCAPE
SOX18,TRRUST
SOX2,RegNetwork|TRRUST|ESCAPE
SOX21,TRRUST
SOX3,RegNetwork
SOX4,TRRUST
SOX5,RegNetwork|TRRUST
SOX6,RegNetwork|TRRUST
SOX7,TRRUST
SOX8,RegNetwork|TRRUST
SOX9,RegNetwork|TRRUST|ESCAPE
SP1,RegNetwork|TRRUST
SP2,RegNetwork|TRRUST
SP3,RegNetwork|TRRUST
SP4,RegNetwork|TRRUST
SP5,TRRUST
SP7,RegNetwork|TRRUST
SP8,RegNetwork|TRRUST
SP9,TRRUST
SPDEF,RegNetwork|TRRUST
SPEN,RegNetwork|TRRUST
SPI1,TRRUST
SPIB,TRRUST
SPIC,TRRUST
SPO11,RegNetwork
SPZ1,RegNetwork
SREBF1,RegNetwork|TRRUST
SREBF2,RegNetwork|TRRUST
SRF,RegNetwork|TRRUST
SRRM1,RegNetwork
SRRT,TRRUST
SRSF1,RegNetwork
SRSF2,RegNetwork
SRSF3,RegNetwork
SRSF5,RegNetwork
SRSF6,RegNetwork
SRSF9,RegNetwork
SRY,RegNetwork|TRRUST
SS18L1,RegNetwork
SSB,RegNetwork|TRRUST
SSBP2,RegNetwork
SSBP3,RegNetwork
SSBP4,RegNetwork
SSRP1,RegNetwork
STAT1,RegNetwork|TRRUST
STAT2,RegNetwork|TRRUST
STAT3,RegNetwork|TRRUST|ESCAPE
STAT4,RegNetwork|TRRUST
STAT5A,RegNetwork|TRRUST
STAT5B,RegNetwork|TRRUST
STAT6,RegNetwork|TRRUST
SUB1,RegNetwork
SUFU,RegNetwork|TRRUST
SUGP1,RegNetwork
SUPT16H,RegNetwork
SUPT4H1,RegNetwork
SUPT5H,RegNetwork
SUPT6H,RegNetwork
SUV39H2,RegNetwork
SUZ12,RegNetwork|TRRUST|ESCAPE
SYT1,TRRUST
T,RegNetwork|ESCAPE
TADA3,RegNetwork
TAF1,RegNetwork
TAF10,RegNetwork
TAF11,RegNetwork
TAF12,TRRUST
TAF13,RegNetwork
TAF15,RegNetwork
TAF1A,RegNetwork
TAF1B,RegNetwork
TAF1C,RegNetwork
TAF4A,RegNetwork
TAF4B,TRRUST
TAF5,RegNetwork
TAF5L,RegNetwork
TAF6,RegNetwork
TAF6L,RegNetwork
TAF7,RegNetwork
TAF9,RegNetwork|TRRUST
TAL1,RegNetwork|TRRUST
TAL2,RegNetwork
TARBP2,RegNetwork
TARDBP,RegNetwork|TRRUST
TAX1BP3,RegNetwork|TRRUST
TBL1X,RegNetwork
TBP,RegNetwork|TRRUST
TBPL1,RegNetwork|TRRUST
TBR1,RegNetwork|TRRUST
TBX1,RegNetwork|TRRUST
TBX15,RegNetwork
TBX18,RegNetwork|TRRUST
TBX19,RegNetwork|TRRUST
TBX2,RegNetwork|TRRUST
TBX20,RegNetwork|TRRUST
TBX21,RegNetwork|TRRUST
TBX3,RegNetwork|TRRUST|ESCAPE
TBX4,RegNetwork|TRRUST
TBX5,RegNetwork|TRRUST
TBX6,RegNetwork|TRRUST
TCEA1,RegNetwork
TCEA3,ESCAPE
TCEB1,RegNetwork
TCEB2,RegNetwork
TCEB3,RegNetwork
TCERG1,RegNetwork
TCF12,RegNetwork|TRRUST
TCF19,TRRUST
TCF20,TRRUST
TCF21,RegNetwork|TRRUST
TCF3,RegNetwork|TRRUST|ESCAPE
TCF4,RegNetwork|TRRUST
TCF7,RegNetwork|TRRUST
TCF7L1,RegNetwork
TCF7L2,RegNetwork|TRRUST|ESCAPE
TCFCP2L1,ESCAPE
TCFL5,TRRUST
TCOF1,RegNetwork
TEAD1,RegNetwork
TEAD2,RegNetwork|TRRUST
TEAD3,RegNetwork
TEAD4,RegNetwork|TRRUST
TEF,RegNetwork|TRRUST
TFAP2A,RegNetwork|TRRUST
TFAP2B,RegNetwork|TRRUST
TFAP2C,RegNetwork|TRRUST
TFAP2D,RegNetwork|TRRUST
TFAP2E,RegNetwork
TFAP4,RegNetwork
TFCP2,RegNetwork|TRRUST
TFCP2L1,RegNetwork
TFDP1,RegNetwork|TRRUST
TFDP2,RegNetwork
TFE3,RegNetwork|TRRUST
TFEB,RegNetwork
TGFB1,TRRUST
TGFB1I1,RegNetwork|TRRUST
TGIF1,RegNetwork
TGIF2,RegNetwork
TGIF2LX1,RegNetwork
TH1L,RegNetwork
THRA,RegNetwork|TRRUST
THRAP3,RegNetwork|TRRUST
THRB,RegNetwork|TRRUST
TIAL1,RegNetwork|TRRUST
TIMELESS,RegNetwork
TIP60,ESCAPE
TLE1,RegNetwork
TLE2,TRRUST
TLE3,RegNetwork|TRRUST
TLE6,RegNetwork
TLR4,TRRUST
TLX1,RegNetwork
TLX2,RegNetwork
TLX3,RegNetwork|TRRUST
TMF1,RegNetwork
TNF,RegNetwork|TRRUST
TNFAIP3,RegNetwork|TRRUST
TOB1,RegNetwork|TRRUST
TOE1,RegNetwork
TOP2B,RegNetwork
TOPORS,RegNetwork
TOX2,RegNetwork
TOX3,RegNetwork
TOX4,RegNetwork
TRERF1,RegNetwork
TRIB3,RegNetwork
TRIM13,TRRUST
TRIM21,RegNetwork
TRIM24,RegNetwork|TRRUST
TRIM25,RegNetwork
TRIM27,RegNetwork
TRIM28,RegNetwork|TRRUST|ESCAPE
TRIM32,RegNetwork|TRRUST
TRIM33,RegNetwork
TRIP11,RegNetwork
TRIP13,RegNetwork
TRIP4,RegNetwork
TRIP6,RegNetwork
TRP53,RegNetwork|TRRUST
TRP53BP1,RegNetwork|TRRUST
TRP63,RegNetwork|TRRUST
TRP73,RegNetwork|TRRUST
TRPS1,RegNetwork|TRRUST
TRRAP,RegNetwork|TRRUST
TSC22D3,RegNetwork
TSC22D4,RegNetwork
TSG101,RegNetwork|TRRUST
TSHZ3,RegNetwork|TRRUST
TTF1,TRRUST
TTF2,RegNetwork|TRRUST
TUBA1A,ESCAPE
TULP3,RegNetwork
TWIST1,RegNetwork|TRRUST
TWIST2,TRRUST
UBE2K,TRRUST
UBP1,RegNetwork
UBTF,RegNetwork
UIMC1,RegNetwork
UPF1,RegNetwork
USF1,RegNetwork|TRRUST
USF2,RegNetwork|TRRUST
UTF1,RegNetwork|TRRUST
VAX2,RegNetwork|TRRUST
VDR,RegNetwork|TRRUST
VEZF1,RegNetwork|TRRUST
VGLL2,RegNetwork
VHL,RegNetwork|TRRUST
VSX1,RegNetwork
VSX2,RegNetwork|TRRUST
WBP11,RegNetwork
WBP7,RegNetwork
WHSC1,RegNetwork
WHSC1L1,RegNetwork|TRRUST
WHSC2,ESCAPE
WNT1,TRRUST
WNT5A,TRRUST
WT1,RegNetwork|TRRUST
WWP1,RegNetwork|TRRUST
WWTR1,RegNetwork|TRRUST
XAB2,RegNetwork
XBP1,RegNetwork|TRRUST
XPC,RegNetwork|TRRUST
XRCC3,RegNetwork
XRCC5,RegNetwork|TRRUST
XRCC6,RegNetwork|TRRUST
YAF2,RegNetwork
YBX1,RegNetwork|TRRUST
YEATS2,RegNetwork
YEATS4,RegNetwork
YY1,RegNetwork|TRRUST|ESCAPE
ZBTB10,RegNetwork
ZBTB16,RegNetwork|TRRUST
ZBTB17,RegNetwork|TRRUST
ZBTB2,RegNetwork|TRRUST
ZBTB20,RegNetwork|TRRUST
ZBTB22,RegNetwork
ZBTB24,RegNetwork
ZBTB3,RegNetwork
ZBTB32,TRRUST
ZBTB33,RegNetwork|TRRUST
ZBTB38,TRRUST
ZBTB39,RegNetwork
ZBTB43,RegNetwork
ZBTB48,RegNetwork
ZBTB7A,RegNetwork|TRRUST
ZBTB7B,RegNetwork
ZBTB9,RegNetwork
ZDHHC13,RegNetwork
ZDHHC15,RegNetwork
ZDHHC16,RegNetwork
ZDHHC6,RegNetwork
ZEB1,RegNetwork|TRRUST
ZEB2,RegNetwork|TRRUST
ZFAND3,ESCAPE
ZFHX3,RegNetwork
ZFML,RegNetwork
ZFP11,RegNetwork
ZFP110,RegNetwork
ZFP111,RegNetwork
ZFP12,RegNetwork
ZFP128,RegNetwork
ZFP13,TRRUST
ZFP143,RegNetwork|TRRUST
ZFP148,RegNetwork|TRRUST
ZFP161,RegNetwork
ZFP180,RegNetwork
ZFP191,RegNetwork
ZFP217,RegNetwork
ZFP219,RegNetwork
ZFP236,RegNetwork
ZFP263,RegNetwork|TRRUST
ZFP275,RegNetwork
ZFP276,RegNetwork
ZFP277,RegNetwork|TRRUST
ZFP28,RegNetwork
ZFP280B,RegNetwork
ZFP281,RegNetwork|TRRUST|ESCAPE
ZFP292,RegNetwork
ZFP296,RegNetwork
ZFP30,RegNetwork
ZFP326,RegNetwork
ZFP335,TRRUST
ZFP354A,RegNetwork
ZFP36,RegNetwork|TRRUST
ZFP36L1,RegNetwork
ZFP384,TRRUST
ZFP385A,TRRUST
ZFP398,RegNetwork
ZFP410,TRRUST
ZFP42,RegNetwork|TRRUST|ESCAPE
ZFP423,RegNetwork|TRRUST
ZFP446,RegNetwork
ZFP462,RegNetwork
ZFP467,RegNetwork
ZFP473,RegNetwork
ZFP488,TRRUST
ZFP512,RegNetwork
ZFP513,RegNetwork|TRRUST
ZFP523,RegNetwork|TRRUST
ZFP524,RegNetwork
ZFP592,RegNetwork
ZFP593,RegNetwork
ZFP623,RegNetwork
ZFP64,RegNetwork|TRRUST
ZFP641,RegNetwork
ZFP661,RegNetwork
ZFP688,RegNetwork
ZFP764,RegNetwork
ZFP768,RegNetwork
ZFP82,RegNetwork
ZFP91,RegNetwork
ZFPM1,RegNetwork|TRRUST
ZFPM2,RegNetwork|TRRUST
ZFX,RegNetwork|ESCAPE
ZHX2,RegNetwork
ZHX3,TRRUST
ZIC1,RegNetwork|TRRUST
ZIC2,RegNetwork|TRRUST
ZIC3,RegNetwork|TRRUST|ESCAPE
ZKSCAN17,RegNetwork
ZKSCAN4,RegNetwork
ZKSCAN6,RegNetwork
ZMYM2,RegNetwork
ZMYND11,RegNetwork
ZNRD1,RegNetwork
ZSCAN10,RegNetwork|TRRUST
ZSCAN2,RegNetwork
ZSCAN21,RegNetwork
ZSCAN4C,ESCAPE
ZSWIM4,RegNetwork
ZZZ3,RegNetwork
